,Categoría,ID/Nombre,Detalle,Criticidad
32,Comando Ejecutado,N/A,sh -c /usr/lib/rsyslog/rsyslog-rotate logrotate_script /var/log/syslog,INFORMATIVA
33,Comando Ejecutado,N/A,/usr/lib/rsyslog/rsyslog-rotate,INFORMATIVA
34,Comando Ejecutado,N/A,systemctl kill -s HUP rsyslog.service,INFORMATIVA
35,Comando Ejecutado,N/A,/bin/gzip,INFORMATIVA
36,Comando Ejecutado,N/A,sh -c /usr/lib/rsyslog/rsyslog-rotate logrotate_script /var/log/mail.info/var/log/mail.warn/var/log/mail.err/var/log/mail.log/var/log/daemon.log/var/log/kern.log/var/log/auth.log/var/log/user.log/var/log/lpr.log/var/log/cron.log/var/log/debug/var/log/messages,INFORMATIVA
37,Texto Sospechoso,N/A,,INFORMATIVA
38,Archivo Abierto,N/A,/root/.Xdefaults-laptop,INFORMATIVA
39,Archivo Abierto,N/A,/etc/X11/app-defaults/XTerm,INFORMATIVA
40,Archivo Abierto,N/A,/dev/tty,INFORMATIVA
41,Archivo Abierto,N/A,/dev/ptmx,INFORMATIVA
42,Archivo Abierto,N/A,/usr/share/fonts,INFORMATIVA
43,Archivo Abierto,N/A,/usr/local/share/fonts/.uuid,INFORMATIVA
44,Archivo Abierto,N/A,/usr/local/share/fonts,INFORMATIVA
45,Archivo Abierto,N/A,/root/.local/share/fonts/.uuid,INFORMATIVA
46,Archivo Abierto,N/A,/root/.fonts/.uuid,INFORMATIVA
47,Archivo Abierto,N/A,/root/.XCompose,INFORMATIVA
48,Archivo Abierto,N/A,/lib/terminfo/x/xterm,INFORMATIVA
49,Archivo Abierto,N/A,/dev/pts/0,INFORMATIVA
50,Archivo Abierto,N/A,/etc/group,INFORMATIVA
51,Archivo Abierto,N/A,/etc/passwd,INFORMATIVA
52,Archivo Abierto,N/A,/proc/sys/kernel/ngroups_max,INFORMATIVA
53,Archivo Abierto,N/A,/etc/shells,INFORMATIVA
54,Archivo Abierto,N/A,/lib/systemd/tls/avx512_1/libc.so.6,INFORMATIVA
55,Archivo Abierto,N/A,/lib/systemd/tls/avx512_1/x86_64/libc.so.6,INFORMATIVA
56,Archivo Abierto,N/A,/lib/systemd/tls/haswell/avx512_1/libc.so.6,INFORMATIVA
57,Archivo Abierto,N/A,/lib/systemd/tls/haswell/avx512_1/x86_64/libc.so.6,INFORMATIVA
58,Archivo Abierto,N/A,/lib/systemd/tls/haswell/libc.so.6,INFORMATIVA
59,Archivo Abierto,N/A,/lib/systemd/tls/haswell/x86_64/libc.so.6,INFORMATIVA
60,Archivo Abierto,N/A,/proc/1/environ,INFORMATIVA
61,Archivo Abierto,N/A,/proc/1/sched,INFORMATIVA
62,Archivo Abierto,N/A,/proc/4953/stat,INFORMATIVA
63,Archivo Abierto,N/A,/proc/cmdline,INFORMATIVA
64,Archivo Abierto,N/A,/proc/filesystems,INFORMATIVA
65,Archivo Abierto,N/A,/proc/self/stat,INFORMATIVA
66,Archivo Abierto,N/A,/proc/sys/kernel/osrelease,INFORMATIVA
67,Archivo Abierto,N/A,/run/systemd/container,INFORMATIVA
68,Archivo Abierto,N/A,/sys/firmware/efi/efivars/SystemdOptions-8cf2644b-4b0b-428f-9387-6d876050dc67,INFORMATIVA
69,Archivo Abierto,N/A,/tmp/passwd.bak,INFORMATIVA
70,Archivo Abierto,N/A,/usr/lib/i386-linux-gnu/libc-2.31.so,INFORMATIVA
71,Archivo Abierto,N/A,/usr/lib/i386-linux-gnu/libcrypt.so.1.1.0,INFORMATIVA
72,Archivo Abierto,N/A,/usr/lib/i386-linux-gnu/libpthread-2.31.so,INFORMATIVA
73,Archivo Abierto,N/A,/usr/lib/rsyslog/rsyslog-rotate,INFORMATIVA
74,Archivo Abierto,N/A,/var/log/auth.log.1,INFORMATIVA
75,Archivo Abierto,N/A,/var/log/kern.log.1,INFORMATIVA
